t	x	v
5.09	-0.9451	1.43312
5.1	-0.929864	1.61273
5.11	-0.912847	1.78925
5.12	-0.89408	1.96234
5.13	-0.873601	2.13167
5.14	-0.851448	2.29692
5.15	-0.827663	2.45776
5.16	-0.802293	2.6139
5.17	-0.775386	2.76504
5.18	-0.746993	2.91087
5.19	-0.717169	3.05113
5.2	-0.685971	3.18554
5.21	-0.653459	3.31385
5.22	-0.619695	3.43581
5.23	-0.584744	3.55119
5.24	-0.548672	3.65976
5.25	-0.511549	3.76132
5.26	-0.473446	3.85568
5.27	-0.434436	3.94265
5.28	-0.394593	4.02207
5.29	-0.353995	4.09378
5.3	-0.312718	4.15765
5.31	-0.270842	4.21355
5.32	-0.228447	4.26138
5.33	-0.185615	4.30105
5.34	-0.142427	4.33247
5.35	-0.0989654	4.3556
5.36	-0.0553147	4.37038
5.37	-0.011558	4.37679
5.38	0.032221	4.37481
5.39	0.0759382	4.36445
5.4	0.11951	4.34573
5.41	0.162853	4.31868
5.42	0.205884	4.28336
5.43	0.24852	4.23984
5.44	0.290681	4.18819
5.45	0.332284	4.12851
5.46	0.373251	4.06093
5.47	0.413503	3.98557
5.48	0.452963	3.90257
5.49	0.491555	3.81209
5.5	0.529205	3.71431
5.51	0.565842	3.60942
5.52	0.601394	3.4976
5.53	0.635794	3.37909
5.54	0.668976	3.25411
5.55	0.700877	3.12289
5.56	0.731435	2.98568
5.57	0.760591	2.84276
5.58	0.788291	2.69439
5.59	0.81448	2.54086
5.6	0.839108	2.38246
5.61	0.86213	2.21949
5.62	0.883499	2.05227
5.63	0.903176	1.88112
5.64	0.921122	1.70637
5.65	0.937304	1.52835
5.66	0.95169	1.3474
5.67	0.964253	1.16386
5.68	0.974968	0.9781
5.69	0.983816	0.790463
5.7	0.990778	0.601312
5.71	0.995843	0.411008
5.72	0.998999	0.219917
5.73	1.00024	0.028404
5.74	0.999568	-0.163163
